iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
2,q003,108.785,1.08,109.865,1.4641
2,q004,126.738,1.063,127.801,1.3854
2,q005,299.722,1.002,300.724,2.2627
2,q006,86.058,1.139,87.197,1.3884
2,q007,84.458,1.46,85.918,1.0478
2,q008,113.241,1.613,114.854,1.2969
2,q009,83.29,1.567,84.857,1.4293
2,q010,48.944,1.906,50.85,1.3119
2,q011,54.913,2.229,57.142,1.5604
2,q012,75.666,1.752,77.418,1.5403
2,q013,27.958,1.582,29.54,2.5119
2,q014,13.927,1.723,15.65,3.0445
2,q015,514.087,1.738,515.825,1.6312
2,q016,52.221,1.83,54.051,3.2058
2,q017,9.867,1.298,11.165,3.0271
2,q018,32.747,1.533,34.28,1.2036
2,q019,27.486,1.325,28.811,1.1474
2,q020,51.07,1.651,52.721,1.9331
2,q021,40.943,1.647,42.59,2.7495
2,q022,81.192,1.681,82.873,2.6504
2,q023,17.122,1.423,18.545,2.4388
2,q024,21.826,1.483,23.309,1.2934
2,q025,50.212,2.693,52.905,1.3449
2,q026,36.428,2.042,38.47,1.1601
2,q027,18.867,3.215,22.082,2.3601
2,q028,566.598,1.934,568.532,1.8451
2,q029,98.703,2.859,101.562,1.3318
2,q030,11276.8,2.5,11279.3,2.8216
2,q031,414.185,2.742,416.927,2.3629
2,q032,672.141,3.479,675.62,2.7353
2,q033,15.064,3.296,18.36,4.5344
2,q035,355.392,2.712,358.104,3.526
2,q036,16.987,2.834,19.821,2.3832
2,q037,132.735,2.329,135.064,1.2873
2,q038,3409.451,2.91,3412.361,1.6502
2,q039,110.561,3.271,113.832,2.6037
2,q040,25.898,2.556,28.454,1.2593
2,q041,9.243,3.024,12.267,1.3597
2,q042,99.248,2.174,101.422,1.7729
2,q043,340.861,2.683,343.544,1.3425
2,q044,119.439,4.09,123.529,1.2338
2,q045,7.717,3.117,10.834,2.2345
2,q046,65.222,6.155,71.377,1.9091
2,q047,79014.238,5.194,79019.432,7.4607
2,q048,7.932,4.341,12.273,5.0878
2,q049,1111.288,5.939,1117.227,3.016
2,q050,18.272,5.654,23.926,4.6393
2,q051,4444.694,5.843,4450.537,2.335
2,q052,7745.979,5.926,7751.905,3.2317
2,q053,64.411,3.045,67.456,1.3793
2,q054,8.268,3.521,11.789,2.9289
2,q055,9.81,4.821,14.631,1.4242
2,q056,829.077,2.788,831.865,5.6338
2,q057,38.425,3.781,42.206,2.403
2,q059,3214.213,8.065,3222.278,1.7004
2,q060,482.702,4.533,487.235,1.786
2,q061,79.766,7.399,87.165,1.8276
2,q062,37.963,6.381,44.344,1.6153
2,q063,49.548,7.509,57.057,1.6191
2,q064,61.695,7.136,68.831,2.3041
2,q065,32.456,7.164,39.62,2.2469
2,q066,530.01,7.434,537.444,3.765
2,q067,14.123,7.881,22.004,3.2936
2,q068,35031.591,5.46,35037.051,2.629
2,q069,2781.509,6.493,2788.002,1.4616
2,q070,2996.993,8.22,3005.213,2.4337
2,q071,3119.177,5.707,3124.884,1.9214
2,q072,86.278,5.997,92.275,3.8851
2,q073,121.001,7.062,128.063,1.7636
2,q074,1466.471,6.01,1472.481,1.2173
2,q075,272.791,7.547,280.338,1.503
2,q076,108.736,7.11,115.846,1.9955
2,q077,365.713,7.49,373.203,1.8314
2,q078,46.589,5.969,52.558,4.4852
2,q079,242.641,6.183,248.824,2.9931
2,q080,92.282,2.132,94.414,1.2889
2,q081,46.462,1.795,48.257,1.9181
2,q082,107.179,1.771,108.95,1.4756
2,q083,126.281,1.743,128.024,1.2207
2,q084,389.18,1.758,390.938,2.2959
2,q085,1264.66,1.546,1266.206,2.222
2,q086,70.271,2.019,72.29,1.6398
2,q087,84.101,1.675,85.776,3.8978
2,q088,433.806,1.698,435.504,1.9466
2,q089,101.909,1.753,103.662,1.299
2,q090,110.497,1.768,112.265,1.3941
2,q091,286.755,1.759,288.514,1.9016
2,q092,50.53,1.512,52.042,1.5672
2,q093,70.923,1.558,72.481,2.8211
2,q094,42.884,1.514,44.398,2.7093
2,q095,197.691,2.164,199.855,1.4183
2,q096,181.939,2.743,184.682,1.8161
2,q097,5737.582,3.703,5741.285,7.768
2,q098,2089.469,2.837,2092.306,2.481
2,q099,77.246,2.527,79.773,4.0781
2,q100,109.124,2.493,111.617,1.2655
