iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q146,133.735,3.152,136.887,1.3516
2,q001,16.84,0.418,17.258,1.0
2,q002,423.396,0.45,423.846,1.9031
2,q003,113.715,0.491,114.206,2.1305
2,q004,127.81,0.473,128.283,2.1249
2,q005,309.896,0.491,310.387,1.752
2,q006,77.383,0.452,77.835,1.6255
2,q007,84.583,0.652,85.235,1.5772
2,q008,115.21,0.665,115.875,1.5679
2,q009,76.667,0.69,77.357,1.1486
2,q010,48.557,0.674,49.231,1.592
2,q011,38.438,0.688,39.126,1.8799
2,q012,67.021,0.681,67.702,2.5394
2,q013,27.715,0.688,28.403,2.1378
2,q014,13.747,0.693,14.44,3.7079
2,q015,339.63,0.661,340.291,1.1187
2,q016,38.55,0.683,39.233,1.7248
2,q017,8.302,0.593,8.895,1.6773
2,q018,32.561,0.663,33.224,1.1378
2,q019,21.084,0.568,21.652,1.0005
2,q020,55.961,0.61,56.571,1.1345
2,q021,39.791,0.613,40.404,1.983
2,q022,81.394,0.635,82.029,2.4494
2,q023,56.509,0.633,57.142,1.7852
2,q024,21.925,0.639,22.564,2.6919
2,q025,49.195,1.645,50.84,1.227
2,q026,31.834,1.343,33.177,1.1125
2,q027,21.722,1.672,23.394,2.5091
2,q028,546.119,1.34,547.459,1.1646
2,q029,70.025,1.49,71.515,1.4111
2,q030,17930.299,1.569,17931.868,8.3867
2,q031,1167.799,1.549,1169.348,3.9234
2,q032,690.292,1.689,691.981,2.4804
2,q033,42.275,1.684,43.959,4.9617
2,q034,19004.93,1.54,19006.47,2.8436
2,q035,376.327,1.607,377.934,3.076
2,q036,27.006,1.629,28.635,3.1756
2,q037,83.826,1.565,85.391,1.3425
2,q038,3403.613,1.597,3405.21,1.7911
2,q039,379.905,1.655,381.56,3.1906
2,q040,30.449,1.384,31.833,1.1915
2,q041,8.899,1.353,10.252,2.3195
2,q042,106.486,1.53,108.016,1.2206
2,q043,328.557,1.542,330.099,1.4159
2,q044,230.285,1.62,231.905,2.1608
2,q045,7.751,1.565,9.316,2.0636
2,q046,152.912,2.455,155.367,2.2273
2,q047,1993.008,2.385,1995.393,3.0551
2,q048,17.99,2.553,20.543,14.9677
2,q049,767.525,2.371,769.896,2.7094
2,q050,63.132,2.528,65.66,7.1684
2,q051,5323.473,2.465,5325.938,3.2221
2,q052,6404.761,2.46,6407.221,3.7739
2,q053,87.232,1.703,88.935,2.1903
2,q054,8.414,1.726,10.14,1.6152
2,q055,3.88,1.758,5.638,1.8527
2,q056,1515.388,1.789,1517.177,6.8726
2,q057,4793.336,1.757,4795.093,17.3646
2,q059,5260.393,3.25,5263.643,3.622
2,q060,517.129,2.466,519.595,1.4783
2,q061,105.021,2.599,107.62,2.0096
2,q062,28.111,2.49,30.601,3.3946
2,q063,41.42,2.727,44.147,1.9114
2,q064,164.124,2.808,166.932,3.0756
2,q065,35.961,2.716,38.677,2.4734
2,q066,157.957,2.722,160.679,3.0463
2,q067,11.391,2.898,14.289,3.1886
2,q068,44163.038,3.339,44166.377,4.2353
2,q069,4039.986,3.31,4043.296,2.2575
2,q070,14175.997,3.228,14179.225,8.3125
2,q071,2845.929,3.096,2849.025,3.3824
2,q072,176.654,3.182,179.836,2.9871
2,q073,96.032,3.289,99.321,2.7693
2,q074,1382.011,2.643,1384.654,2.4302
2,q075,276.807,2.695,279.502,1.7276
2,q076,86.732,2.676,89.408,1.4417
2,q077,544.735,2.709,547.444,4.122
2,q078,37.048,2.628,39.676,2.9705
2,q079,199.218,2.664,201.882,1.6479
2,q080,75.559,0.691,76.25,1.4655
2,q081,43.348,0.695,44.043,1.5995
2,q082,99.781,0.672,100.453,2.1509
2,q083,119.395,0.662,120.057,2.0655
2,q084,356.798,0.72,357.518,1.4811
2,q085,370.045,0.711,370.756,1.4753
2,q086,78.127,1.397,79.524,1.4118
2,q087,49.61,0.649,50.259,1.6979
2,q088,353.238,0.67,353.908,1.1187
2,q089,88.625,0.694,89.319,2.2195
2,q090,92.772,0.697,93.469,1.6045
2,q091,273.648,0.693,274.341,2.2684
2,q092,52.891,0.593,53.484,1.1909
2,q093,136.579,0.644,137.223,2.9245
2,q094,42.187,0.644,42.831,2.0567
2,q095,192.306,1.61,193.916,1.3733
2,q096,167.129,1.631,168.76,1.2439
2,q097,1808.779,1.654,1810.433,1.7619
2,q098,1346.932,1.576,1348.508,2.355
2,q099,80.664,1.7,82.364,3.4718
2,q100,62.085,1.41,63.495,1.0992
2,q101,78.533,1.42,79.953,1.1706
2,q102,149.115,1.386,150.501,1.1544
2,q103,177.366,1.639,179.005,2.6506
2,q104,791.296,1.65,792.946,2.4496
2,q105,7127.97,1.65,7129.62,2.1192
2,q106,174.194,1.678,175.872,2.2656
2,q107,16962.199,1.594,16963.793,3.5047
2,q108,25501.587,1.631,25503.218,4.159
2,q109,85.405,2.478,87.883,1.4422
2,q110,77.936,2.397,80.333,1.3688
2,q111,113.858,2.423,116.281,1.3983
2,q112,98.08,2.445,100.525,1.3427
2,q113,909.479,1.56,911.039,2.948
2,q114,829.508,1.633,831.141,2.3381
2,q115,1429.292,1.606,1430.898,2.7005
2,q116,138.804,1.651,140.455,2.9568
2,q117,72.146,1.391,73.537,1.2711
2,q118,90.026,1.393,91.419,1.6281
2,q119,148.114,1.608,149.722,1.6507
2,q121,78.314,1.663,79.977,1.7238
2,q123,6958.612,1.596,6960.208,2.768
2,q124,237.91,1.563,239.473,1.7426
2,q125,25.9,1.641,27.541,2.8991
2,q127,124.749,2.523,127.272,2.4158
2,q128,150.285,2.488,152.773,2.2273
2,q129,145.59,2.406,147.996,2.5628
2,q130,49.419,1.984,51.403,1.4182
2,q131,841.838,2.464,844.302,3.1226
2,q132,18.58,2.485,21.065,2.957
2,q133,726.655,2.458,729.113,3.3021
2,q134,5714.92,2.538,5717.458,6.4686
2,q135,72128.188,2.448,72130.636,1.988
2,q136,15191.083,2.543,15193.626,3.1656
2,q137,116.379,1.894,118.273,4.3687
2,q138,2919.174,1.79,2920.964,6.5373
2,q139,200.974,2.61,203.584,1.1865
2,q140,7064.432,5.018,7069.45,9.1238
2,q141,11408.783,5.187,11413.97,1.6886
2,q142,10730.897,5.02,10735.917,4.3377
2,q143,9661.149,4.949,9666.098,6.0532
2,q144,809.39,2.664,812.054,1.2595
2,q145,166.981,3.055,170.036,2.8865
2,q146,132.952,3.076,136.028,1.3516
3,q001,16.815,0.41,17.225,1.0
3,q002,410.295,0.45,410.745,1.9031
3,q003,113.619,0.472,114.091,2.1305
3,q004,124.145,0.493,124.638,2.1249
3,q005,309.308,0.466,309.774,1.752
3,q006,77.873,0.444,78.317,1.6255
3,q007,84.839,0.635,85.474,1.5772
3,q008,118.407,0.654,119.061,1.5679
3,q009,76.97,0.679,77.649,1.1486
3,q010,48.287,0.697,48.984,1.592
3,q011,39.028,0.702,39.73,1.8799
3,q012,67.325,0.712,68.037,2.5394
3,q013,27.339,0.698,28.037,2.1378
3,q014,13.771,0.693,14.464,3.7079
3,q015,341.471,0.671,342.142,1.1187
3,q016,37.467,0.657,38.124,1.7248
3,q017,8.724,0.593,9.317,1.6773
3,q018,33.466,1.022,34.488,1.1378
3,q019,21.635,0.566,22.201,1.0005
3,q020,56.171,0.612,56.783,1.1345
3,q021,41.162,0.619,41.781,1.983
3,q022,79.605,0.654,80.259,2.4752
3,q023,55.579,0.633,56.212,1.7852
3,q024,21.677,0.632,22.309,2.6919
3,q025,49.169,1.635,50.804,1.227
3,q026,32.224,1.374,33.598,1.1125
3,q027,21.928,1.713,23.641,2.5091
3,q028,566.692,1.348,568.04,1.1646
3,q029,71.508,1.438,72.946,1.4111
3,q030,17795.036,1.57,17796.606,7.954
3,q031,1147.53,1.475,1149.005,3.9234
3,q032,665.344,1.723,667.067,2.4804
3,q033,42.159,1.657,43.816,4.9617
3,q034,18798.253,1.57,18799.823,2.8436
3,q035,368.369,1.609,369.978,3.076
3,q036,27.403,1.596,28.999,3.1756
3,q037,83.967,1.596,85.563,1.3425
3,q038,3279.329,1.646,3280.975,1.7911
3,q039,376.397,1.653,378.05,3.1906
3,q040,30.453,1.405,31.858,1.1915
3,q041,9.079,1.363,10.442,2.3195
3,q042,104.442,1.368,105.81,1.2206
3,q043,316.988,1.459,318.447,1.4159
3,q044,230.878,1.664,232.542,2.1608
3,q045,7.431,1.547,8.978,2.0636
3,q046,154.739,2.446,157.185,2.2273
3,q047,2057.015,2.464,2059.479,3.0551
3,q048,18.234,2.497,20.731,14.9677
3,q049,736.323,2.438,738.761,2.7046
3,q050,63.665,2.436,66.101,7.1684
3,q051,5335.878,2.506,5338.384,3.2221
3,q052,6428.636,2.469,6431.105,3.7739
3,q053,85.734,1.697,87.431,2.1903
3,q054,8.308,1.73,10.038,1.6152
3,q055,4.287,1.805,6.092,1.8527
3,q056,1522.414,2.419,1524.833,6.8726
3,q057,4787.856,1.803,4789.659,17.3646
3,q059,5180.074,3.184,5183.258,3.622
3,q060,527.329,2.599,529.928,1.4783
3,q061,106.313,2.656,108.969,2.0096
3,q062,29.224,2.541,31.765,3.3946
3,q063,41.324,2.725,44.049,1.9114
3,q064,165.499,2.964,168.463,3.0756
3,q065,35.687,2.831,38.518,2.4734
3,q066,157.378,2.879,160.257,3.0463
3,q067,11.411,2.985,14.396,3.1886
3,q068,43433.203,3.066,43436.269,4.2353
