iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
2,13a,304.283,14.062,318.345,2.6496
2,13b,145.69,16.072,161.762,2.4067
2,13c,112.801,15.696,128.497,2.2274
2,13d,1799.174,13.928,1813.102,2.5104
2,14a,392.37,9.933,402.303,4.6209
2,14b,113.204,9.954,123.158,1.4032
2,14c,718.283,9.901,728.184,4.6789
2,15a,159.468,21.71,181.178,1.6335
2,15b,20.038,22.875,42.913,1.3368
2,15c,599.371,21.424,620.795,1.7024
2,15d,843.343,20.421,863.764,1.967
2,16a,154.848,9.524,164.372,1.4738
2,16b,12258.315,8.832,12267.147,6.9413
2,16c,8539.337,9.42,8548.757,6.5981
2,16d,1006.159,9.693,1015.852,4.9781
2,17a,6764.965,5.349,6770.314,5.7103
2,17b,4624.176,5.331,4629.507,2.7693
2,17c,4483.415,5.381,4488.796,2.0578
2,17d,4521.545,5.364,4526.909,1.3659
2,17e,8392.432,5.208,8397.64,5.6658
2,17f,5851.298,5.282,5856.58,3.1521
2,18a,196.028,5.764,201.792,9.4695
2,18b,103.806,6.883,110.689,1.335
2,18c,3871.396,6.362,3877.758,3.3023
2,19a,1093.394,46.256,1139.65,3.3326
2,19b,55.394,41.269,96.663,3.6243
2,19c,774.279,42.562,816.841,3.3736
2,19d,10802.01,40.34,10842.35,2.6541
2,1a,89.64,21.383,111.023,1.1153
2,1b,38.951,2.228,41.179,1.2863
2,1c,40.141,2.305,42.446,1.2532
2,1d,38.942,2.127,41.069,1.2643
2,20a,2065.946,24.563,2090.509,4.3054
2,20b,1418.456,25.277,1443.733,3.7294
2,20c,744.164,24.355,768.519,4.7317
2,21a,45.703,23.005,68.708,3.6216
2,21b,22.912,21.337,44.249,2.8725
2,21c,29.045,22.596,51.641,3.6538
2,22a,1206.001,59.697,1265.698,13.8963
2,22b,746.201,59.163,805.364,3.9752
2,22c,1596.636,60.616,1657.252,9.0938
2,22d,2705.638,60.258,2765.896,9.326
2,23a,154.012,54.835,208.847,2.6136
2,23b,85.057,51.607,136.664,3.5971
2,23c,265.415,52.377,317.792,1.7763
2,24a,143.247,515.343,658.59,3.2949
2,24b,20.649,558.512,579.161,5.067
2,25a,1184.671,19.641,1204.312,7.7818
2,25b,259.831,20.336,280.167,4.2428
2,25c,3619.842,20.559,3640.401,7.4864
2,26a,323.637,458.943,782.58,18.3174
2,26b,97.224,446.189,543.413,3.3927
2,26c,777.766,438.597,1216.363,25.1207
2,27a,11.334,495.903,507.237,2.8858
2,27b,11.3,485.887,497.187,3.2658
2,27c,19.035,505.971,525.006,4.4661
2,28a,636.225,694.996,1331.221,10.7204
2,28b,190.651,677.736,868.387,5.0984
2,28c,6715.093,702.84,7417.933,13.5624
2,29a,35.354,1016.827,1052.181,7.0939
2,29b,12.064,995.607,1007.671,2.4982
2,29c,268.699,940.745,1209.444,14.7101
2,2a,187.309,1.969,189.278,1.8797
2,2b,181.531,2.274,183.805,1.6058
2,2c,13.961,2.102,16.063,5.4305
2,2d,2120.0,1.877,2121.877,25.4542
2,30a,372.095,506.078,878.173,5.3938
2,30b,295.328,566.885,862.213,6.5993
2,30c,2137.117,484.982,2622.099,8.2437
2,31a,113.176,71.217,184.393,6.6133
2,31b,50.281,72.515,122.796,8.2533
2,31c,183.626,70.37,253.996,7.5761
2,32a,80.111,2.705,82.816,2.8446
2,32b,102.031,2.41,104.441,64.3365
2,33a,209.837,548.922,758.759,16.8121
2,33b,27.114,525.853,552.967,2.5842
2,33c,471.717,556.237,1027.954,22.4017
2,3a,129.46,1.877,131.337,1.0383
2,3b,87.459,1.864,89.323,1.0383
2,3c,202.281,1.928,204.209,1.0383
2,4a,87.252,2.349,89.601,1.2275
2,4b,31.826,2.247,34.073,1.1108
2,4c,92.321,2.067,94.388,1.6483
2,5a,66.503,2.651,69.154,1.0188
2,5b,63.165,2.414,65.579,1.0187
2,5c,96.985,2.401,99.386,1.1148
2,6a,22.728,2.199,24.927,1.3486
2,6b,173.001,2.174,175.175,1.2941
2,6c,6.706,2.439,9.145,1.5543
2,6d,7823.167,2.71,7825.877,3.4601
2,6e,15.767,2.413,18.18,1.3676
2,6f,9191.801,2.056,9193.857,3.2564
2,7a,132.917,10.51,143.427,11.4103
2,7b,179.235,9.734,188.969,1.2796
2,7c,4345.604,11.205,4356.809,3.3164
2,8a,569.101,6.369,575.47,5.1863
2,8b,55.443,7.21,62.653,3.7249
2,8c,2118.603,4.833,2123.436,1.1913
2,8d,690.683,5.331,696.014,2.2635
2,9a,159.498,13.289,172.787,1.4708
2,9b,859.223,12.413,871.636,2.144
2,9c,1043.297,43.36,1086.657,2.4515
2,9d,1812.89,11.267,1824.157,1.6506
3,10a,243.94,5.378,249.318,1.1767
3,10b,141.419,5.296,146.715,1.1267
3,10c,6961.837,4.855,6966.692,1.2058
3,11a,40.682,10.064,50.746,1.361
3,11b,17.794,9.568,27.362,1.4439
3,11c,623.153,9.033,632.186,7.059
3,11d,46.092,8.704,54.796,4.6524
3,12a,121.608,10.425,132.033,2.2715
3,12b,39.805,9.775,49.58,1.4095
3,12c,615.056,10.416,625.472,2.356
3,13a,542.498,14.051,556.549,2.894
3,13b,144.681,16.027,160.708,1.2704
3,13c,107.762,15.896,123.658,1.5985
3,13d,3297.239,13.778,3311.017,3.2299
3,14a,252.215,9.927,262.142,3.3034
3,14b,110.25,9.935,120.185,1.2765
3,14c,484.372,9.869,494.241,4.8132
3,15a,159.348,21.567,180.915,1.404
3,15b,19.926,22.773,42.699,1.2039
3,15c,605.135,21.759,626.894,2.0769
3,15d,845.802,20.495,866.297,1.3547
3,16a,159.593,9.856,169.449,1.8292
3,16b,16187.758,8.864,16196.622,9.8696
3,16c,1289.846,9.326,1299.172,4.7863
3,16d,8440.101,9.404,8449.505,7.3947
3,17a,6375.609,5.501,6381.11,9.6849
3,17b,4574.872,5.203,4580.075,1.3411
3,17c,4511.281,5.329,4516.61,1.3628
3,17d,4543.726,5.222,4548.948,1.3661
3,17e,13817.05,5.107,13822.157,9.485
3,17f,10041.106,5.134,10046.24,4.0417
3,18a,2212.276,5.966,2218.242,1.1162
3,18b,106.219,6.983,113.202,1.1232
3,18c,2078.53,6.252,2084.782,2.3604
3,19a,1185.413,46.806,1232.219,2.0124
3,19b,56.227,41.401,97.628,3.5234
3,19c,1221.35,42.766,1264.116,2.4863
3,19d,2801.488,39.494,2840.982,2.6187
3,1a,43.996,2.52,46.516,1.1153
3,1b,38.678,2.182,40.86,1.1413
