iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
2,13a,607.973,8.352,616.325,5.1741
2,13b,276.214,8.394,284.608,6.2289
2,13c,265.149,8.624,273.773,3.6061
2,13d,938.562,8.468,947.03,5.0759
2,14a,244.961,5.372,250.333,21.3898
2,14b,109.506,4.648,114.154,4.1078
2,14c,412.187,5.061,417.248,25.1027
2,15a,154.665,11.402,166.067,3.0283
2,15b,18.946,11.416,30.362,3.5767
2,15c,604.611,12.502,617.113,3.6553
2,15d,308.355,12.545,320.9,5.8831
2,16a,156.112,6.569,162.681,8.5075
2,16b,10112.963,6.074,10119.037,37.073
2,16c,881.762,6.192,887.954,24.3997
2,16d,724.375,6.272,730.647,24.9874
2,17a,7071.635,3.951,7075.586,35.9395
2,17b,5382.257,4.085,5386.342,31.2046
2,17c,5240.935,3.979,5244.914,33.5948
2,17d,5309.477,3.958,5313.435,54.1499
2,17e,7098.763,3.911,7102.674,35.6406
2,17f,6537.518,4.09,6541.608,37.6148
2,18a,2545.454,3.842,2549.296,5.563
2,18b,114.088,3.898,117.986,5.9781
2,18c,3271.308,3.886,3275.194,7.5543
2,19a,131.667,18.842,150.509,9.8205
2,19b,63.748,14.717,78.465,8.4129
2,19c,1003.33,20.677,1024.007,11.3543
2,19d,3330.123,21.486,3351.609,6.129
2,1a,41.06,2.034,43.094,1.5607
2,1b,36.564,1.704,38.268,7.9545
2,1c,39.396,1.704,41.1,1.9086
2,1d,36.599,1.72,38.319,8.4569
2,20a,2021.265,11.931,2033.196,15.5797
2,20b,1567.165,11.578,1578.743,14.2331
2,20c,864.327,11.946,876.273,19.8577
2,21a,56.316,11.877,68.193,23.3651
2,21b,37.787,11.074,48.861,16.1667
2,21c,39.719,11.303,51.022,22.9058
2,22a,302.961,29.716,332.677,29.7569
2,22b,210.916,29.171,240.087,12.0574
2,22c,907.341,28.841,936.182,50.9815
2,22d,560.583,31.521,592.104,48.4399
2,23a,194.594,28.579,223.173,5.0458
2,23b,40.608,26.856,67.464,5.5679
2,23c,188.365,27.571,215.936,1.9236
2,24a,304.722,57.285,362.007,21.3734
2,24b,15.762,50.812,66.574,4.2373
2,25a,1491.192,10.103,1501.295,45.904
2,25b,193.763,9.932,203.695,6.2503
2,25c,5242.499,11.079,5253.578,60.3968
2,26a,12183.162,48.807,12231.969,17.0993
2,26b,150.713,47.887,198.6,11.7425
2,26c,1102.181,48.116,1150.297,12.2682
2,27a,12.587,49.013,61.6,3.3333
2,27b,5.237,46.642,51.879,4.1487
2,27c,17.066,49.472,66.538,3.087
2,28a,853.836,59.388,913.224,71.1659
2,28b,448.535,56.769,505.304,58.8041
2,28c,897.734,59.803,957.537,53.0267
2,29a,53.767,71.856,125.623,7.7208
2,29b,8.598,72.136,80.734,3.3953
2,29c,714.336,74.967,789.303,68.8643
2,2a,306.55,1.884,308.434,31.5217
2,2b,292.069,2.073,294.142,36.7786
2,2c,278.851,2.085,280.936,8.7956
2,2d,381.38,2.055,383.435,31.75
2,30a,3683.445,51.221,3734.666,37.7648
2,30b,245.977,47.296,293.273,8.7455
2,30c,2148.273,50.999,2199.272,53.9099
2,31a,675.52,38.436,713.956,34.2144
2,31b,248.893,34.745,283.638,12.5577
2,31c,680.384,40.352,720.736,39.3635
2,32a,7.89,2.248,10.138,9.5469
2,32b,102.783,2.262,105.045,22.7631
2,33a,21.611,58.3,79.911,3.5952
2,33b,13.003,58.945,71.948,2.6411
2,33c,34.513,59.984,94.497,5.4494
2,3a,129.532,1.578,131.11,2.6384
2,3b,84.864,1.676,86.54,2.5172
2,3c,201.555,1.745,203.3,3.622
2,4a,88.435,2.079,90.514,6.7148
2,4b,32.897,1.87,34.767,2.0691
2,4c,81.756,1.774,83.53,7.6972
2,5a,67.27,1.874,69.144,7.8224
2,5b,62.655,1.77,64.425,1.5855
2,5c,95.923,1.819,97.742,3.4904
2,6a,21.05,1.899,22.949,3.1455
2,6b,172.166,1.791,173.957,8.4287
2,6c,6.138,2.15,8.288,3.1988
2,6d,4059.848,2.031,4061.879,9.3842
2,6e,14.627,2.181,16.808,2.7271
2,6f,4099.295,1.758,4101.053,9.813
2,7a,582.383,5.656,588.039,3.3748
2,7b,165.506,5.336,170.842,3.1781
2,7c,1633.543,5.794,1639.337,22.6442
2,8a,837.74,3.844,841.584,16.8655
2,8b,84.028,3.549,87.577,6.0526
2,8c,1925.275,3.379,1928.654,1.3087
2,8d,690.011,4.029,694.04,2.6362
2,9a,131.834,6.216,138.05,9.0921
2,9b,128.673,5.518,134.191,8.9157
2,9c,220.052,6.077,226.129,2.7243
2,9d,1936.847,6.345,1943.192,3.545
3,10a,241.835,3.448,245.283,1.8375
3,10b,139.607,3.528,143.135,2.4455
